Название	Год	Рейтинг	Страна	Жанр	Режиссёр
1+1	2011	8.4	Франция	драма	Оливье Накаш
Интерстеллар	2014	8.3	США	фантастика	Кристофер Нолан
Побег из Шоушенка	1994	8.2	США	драма	Фрэнк Дарабонт
Остров проклятых	2009	8.1	США	триллер	Мартин Скорсезе
Зеленая миля	1999	8.1	США	драма	Фрэнк Дарабонт
Джентльмены	2019	8.1	США	криминал	Гай Ричи
Властелин колец: Возвращение короля	2003	8.1	Новая Зеландия	фэнтези	Питер Джексон
Форрест Гамп	1994	8.1	США	драма	Роберт Земекис
Бойцовский клуб	1999	8.1	США	триллер	Дэвид Финчер
Властелин колец: Братство кольца	2001	8.0	Новая Зеландия	фэнтези	Питер Джексон
Унесённые призраками	2001	8.0	Япония	аниме	Хаяо Миядзаки
Терминатор 2: Судный день	1991	8.0	США	фантастика	Джеймс Кэмерон
Зеленая книга	2018	8.0	США	биография	Питер Фаррелли
Леон	1994	7.9	Франция	боевик	Люк Бессон
Гладиатор	2000	7.9	США	история	Ридли Скотт
Властелин колец: Две крепости	2002	7.9	Новая Зеландия	фэнтези	Питер Джексон
Достучаться до небес	1997	7.9	Германия	драма	Томас Ян
Начало	2010	7.9	США	фантастика	Кристофер Нолан
Криминальное чтиво	1994	7.9	США	криминал	Квентин Тарантино
Унесённые ветром	1939	7.9	США	мелодрама	Виктор Флеминг
Список Шиндлера	1993	7.8	США	драма	Стивен Спилберг
Операция «Ы» и другие приключения Шурика	1965	7.8	СССР	комедия	Леонид Гайдай
Тайна Коко	2017	7.8	США	мультфильм	Ли Анкрич
Брат 2	2000	7.8	Россия	боевик	Алексей Балабанов
Девчата	1962	7.8	СССР	мелодрама	Юрий Чулюкин
Темный рыцарь	2008	7.8	США	фантастика	Кристофер Нолан
Бриллиантовая рука	1968	7.8	СССР	комедия	Леонид Гайдай
Брат	1997	7.8	Россия	драма	Алексей Балабанов
Иван Васильевич меняет профессию	1973	7.8	СССР	комедия	Леонид Гайдай
Собачье сердце	1988	7.7	СССР	драма	Владимир Бортко
Большой куш	2000	7.7	Великобритания	криминал	Гай Ричи
Дангал	2016	7.7	Индия	драма	Нитеш Тивари
Назад в будущее	1985	7.7	США	фантастика	Роберт Земекис
Шрэк	2001	7.7	США	мультфильм	Эндрю Адамсон
Хатико: Самый верный друг	2008	7.7	США	драма	Лассе Халльстрём
Пианист	2002	7.7	Франция	драма	Роман Полански
Дикий робот	2024	7.7	США	мультфильм	Крис Сандерс
Волк с Уолл-стрит	2013	7.7	США	драма	Мартин Скорсезе
Кавказская пленница, или Новые приключения Шурика	1966	7.7	СССР	комедия	Леонид Гайдай
Поймай меня, если сможешь	2002	7.7	США	криминал	Стивен Спилберг
Гарри Поттер и философский камень	2001	7.6	Великобритания	фэнтези	Крис Коламбус
Карты, деньги, два ствола	1998	7.6	Великобритания	боевик	Гай Ричи
Крестный отец	1972	7.6	США	драма	Фрэнсис Форд Коппола
Пятый элемент	1997	7.6	Франция	фантастика	Люк Бессон
Трасса 60	2001	7.6	Канада	фантастика	Боб Гейл
Матрица	1999	7.6	США	фантастика	Лана Вачовски
Одержимость	2013	7.6	США	драма	Дэмьен Шазелл
Престиж	2006	7.6	Великобритания	триллер	Кристофер Нолан
Титаник	1997	7.6	США	мелодрама	Джеймс Кэмерон
В августе 44-го	2001	7.6	Россия	боевик	Михаил Пташук
Гарри Поттер и узник Азкабана	2004	7.6	Великобритания	фэнтези	Альфонсо Куарон
Малышка на миллион	2004	7.6	США	драма	Клинт Иствуд
Джанго освобожденный	2012	7.6	США	вестерн	Квентин Тарантино
Вторая жизнь Уве	2015	7.6	Швеция	драма	Ханнес Холм
...А зори здесь тихие	1972	7.6	СССР	драма	Станислав Ростоцкий
Укрощение строптивого	1980	7.6	Италия	мелодрама	Франко Кастеллано
Пеле: Рождение легенды	2015	7.6	США	биография	Джефф Цимбалист
Одна жизнь	2023	7.6	Великобритания	драма	Джеймс Хоуз
Отступники	2006	7.6	США	криминал	Мартин Скорсезе
Семь	1995	7.6	США	триллер	Дэвид Финчер
Гордость и предубеждение	2005	7.6	Великобритания	драма	Джо Райт
Пираты Карибского моря: Проклятие Черной жемчужины	2003	7.5	США	фэнтези	Гор Вербински
Бесславные ублюдки	2009	7.5	Германия	боевик	Квентин Тарантино
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей	1981	7.5	СССР	детектив	Игорь Масленников
Достать ножи	2019	7.5	США	детектив	Райан Джонсон
Дело храбрых	2017	7.5	США	драма	Джозеф Косински
Апокалипсис	2006	7.5	США	боевик	Мэл Гибсон
Шерлок Холмс и доктор Ватсон: Знакомство	1979	7.5	СССР	криминал	Игорь Масленников
Один дома	1990	7.5	США	комедия	Крис Коламбус
Лев	2016	7.5	Австралия	драма	Гарт Дэвис
Джентльмены удачи	1971	7.5	СССР	комедия	Александр Серый
Законопослушный гражданин	2009	7.5	США	боевик	Ф. Гэри Грей
Иди и смотри	1985	7.5	СССР	драма	Элем Климов
Дюна: Часть вторая	2024	7.5	США	фантастика	Дени Вильнёв
Белая птица: Новое чудо	2023	7.5	США	драма	Марк Форстер
Шоу Трумана	1998	7.5	США	драма	Питер Уир
Счастливое число Слевина	2005	7.5	США	триллер	Пол Макгиган
Крик тишины	2019	7.5	Россия	драма	Владимир Потапов
Паразиты	2019	7.5	Корея Южная	драма	Пон Джун-хо
Области тьмы	2011	7.5	США	триллер	Нил Бёргер
Омерзительная восьмерка	2015	7.5	США	вестерн	Квентин Тарантино
Планета Ка-Пэкс	2001	7.5	Германия	фантастика	Иэн Софтли
Пожары	2010	7.5	Канада	драма	Дени Вильнёв
Лучшее предложение	2012	7.5	Италия	триллер	Джузеппе Торнаторе
Самый быстрый Indian	2005	7.5	Новая Зеландия	драма	Роджер Дональдсон
Алеша Попович и Тугарин Змей	2004	7.5	Россия	мультфильм	Константин Бронзит
Лекарь: Ученик Авиценны	2013	7.5	Германия	приключения	Филипп Штёльцль
Реквием по мечте	2000	7.5	США	драма	Даррен Аронофски
12 лет рабства	2013	7.5	Великобритания	драма	Стив МакКуин
Приключения Паддингтона 2	2017	7.4	Франция	фэнтези	Пол Кинг
Жизнь Дэвида Гейла	2002	7.4	Великобритания	триллер	Алан Паркер
12 стульев	1971	7.4	СССР	комедия	Леонид Гайдай
Догвилль	2003	7.4	Дания	триллер	Ларс фон Триер
Отель Мумбаи: Противостояние	2018	7.4	США	боевик	Энтони Марас
Шрэк 2	2004	7.4	США	мультфильм	Эндрю Адамсон
Дурак	2014	7.4	Россия	драма	Юрий Быков
Адвокат дьявола	1997	7.4	США	триллер	Тейлор Хэкфорд
Они сражались за Родину	1975	7.4	СССР	драма	Сергей Бондарчук
Гарри Поттер и Тайная комната	2002	7.4	Великобритания	фэнтези	Крис Коламбус
Игры разума	2001	7.4	США	биография	Рон Ховард
Гарри Поттер и Дары Смерти: Часть II	2011	7.4	Великобритания	фэнтези	Дэвид Йейтс
Молчание ягнят	1990	7.4	США	триллер	Джонатан Демме
Кин-дза-дза!	1986	7.4	СССР	фантастика	Георгий Данелия
Троя	2004	7.4	США	боевик	Вольфганг Петерсен
Клаус	2019	7.4	Испания	мультфильм	Серхио Паблос
Поток	2024	7.4	Латвия	мультфильм	Гинтс Зильбалодис
Искупление	2007	7.4	Великобритания	драма	Джо Райт
Война	2002	7.4	Россия	боевик	Алексей Балабанов
